"participant","version","source_cluster","block","trial_in_block","current_ap","current_hp","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr"
865,"A",5,5,14,"unn2/abstract05_ap.jpg","unn2/abstract05a_hp.jpg","left","unn","RT","left",1
865,"A",5,5,15,"unn2/abstract08_ap.jpg","unn2/abstract08_hp.jpg","right","unn","N","right",1
865,"A",5,5,16,"Nam2/inanimate03_ap.jpg","Nam2/inanimate03a_hp.jpg","left","nam","RS","left",1
865,"A",5,5,17,"unn2/abstract01c_ap.jpg","unn2/abstract01c_hp.jpg","right","unn","RS","right",1
865,"A",5,5,18,"Nam2/inanimate08e_ap.jpg","Nam2/inanimate08d_hp.jpg","left","nam","N","left",1
865,"A",5,5,19,"unn2/abstract05a_ap.jpg","unn2/abstract05_hp.jpg","left","unn","RT","left",1
865,"A",5,5,20,"Nam2/inanimate04d_ap.jpg","Nam2/inanimate04d_hp.jpg","right","nam","RT","left",0
865,"A",5,5,21,"unn2/abstract08a_ap.jpg","unn2/abstract08a_hp.jpg","right","unn","N","right",1
865,"A",5,5,22,"Nam2/inanimate08d_ap.jpg","Nam2/inanimate08e_hp.jpg","left","nam","N","left",1
865,"A",5,5,23,"Nam2/inanimate03a_ap.jpg","Nam2/inanimate03_hp.jpg","left","nam","RS","left",1
865,"A",5,5,24,"Nam2/inanimate04e_ap.jpg","Nam2/inanimate04e_hp.jpg","right","nam","RT","left",0
865,"A",6,6,1,"Nam2/inanimate09a_ap.jpg","Nam2/inanimate09a_hp.jpg","right","nam","N","left",0
865,"A",6,6,2,"Nam2/inanimate01b_ap.jpg","Nam2/inanimate01b_hp.jpg","right","nam","RS","left",0
865,"A",6,6,3,"unn2/abstract05d_ap.jpg","unn2/abstract05d_hp.jpg","right","unn","RT","right",1
865,"A",6,6,4,"Nam2/inanimate05a_ap.jpg","Nam2/inanimate05_hp.jpg","left","nam","RT","left",1
865,"A",6,6,5,"unn2/abstract03c_ap.jpg","unn2/abstract03b_hp.jpg","left","unn","RS","left",1
865,"A",6,6,6,"unn2/abstract05e_ap.jpg","unn2/abstract05e_hp.jpg","right","unn","RT","right",1
865,"A",6,6,7,"unn2/abstract08d_ap.jpg","unn2/abstract08e_hp.jpg","left","unn","N","left",1
865,"A",6,6,8,"Nam2/inanimate09_ap.jpg","Nam2/inanimate09_hp.jpg","right","nam","N","right",1
865,"A",6,6,9,"unn2/abstract03b_ap.jpg","unn2/abstract03c_hp.jpg","left","unn","RS","right",0
865,"A",6,6,10,"Nam2/inanimate05_ap.jpg","Nam2/inanimate05a_hp.jpg","left","nam","RT","left",1
865,"A",6,6,11,"Nam2/inanimate01c_ap.jpg","Nam2/inanimate01c_hp.jpg","right","nam","RS","left",0
865,"A",6,6,12,"unn2/abstract08e_ap.jpg","unn2/abstract08d_hp.jpg","left","unn","N","left",1
865,"A",6,6,13,"unn2/abstract03b_ap.jpg","unn2/abstract03b_hp.jpg","right","unn","RS","right",1
865,"A",6,6,14,"unn2/abstract05d_ap.jpg","unn2/abstract05e_hp.jpg","left","unn","RT","right",0
